#[ Fluid temperature 3D plot data file: tmp.dat ]
 2.45980e-03 -1.12229e-01  5.10976e+01
 7.37400e-03 -1.11995e-01  5.21184e+01
 1.22723e-02 -1.11537e-01  5.11698e+01
 1.71443e-02 -1.10855e-01  5.14601e+01
 2.19798e-02 -1.09951e-01  5.12108e+01
 2.67687e-02 -1.08827e-01  5.09599e+01
 2.49946e-03 -1.06791e-01  5.16017e+01
 7.49085e-03 -1.06504e-01  5.42764e+01
 1.24603e-02 -1.05957e-01  5.32719e+01
 1.73943e-02 -1.05152e-01  5.45544e+01
 2.22792e-02 -1.04089e-01  5.44268e+01
 2.71017e-02 -1.02773e-01  5.46243e+01
 2.54072e-03 -1.01354e-01  5.70343e+01
 7.61220e-03 -1.01016e-01  5.99031e+01
 1.26550e-02 -1.00382e-01  5.71108e+01
 1.76516e-02 -9.94515e-02  5.82597e+01
 2.25847e-02 -9.82294e-02  5.69671e+01
 2.74372e-02 -9.67195e-02  5.68746e+01
 2.58357e-03 -9.59181e-02  5.52022e+01
 7.73804e-03 -9.55317e-02  5.92261e+01
 1.28562e-02 -9.48095e-02  5.68297e+01
 1.79161e-02 -9.37548e-02  5.84946e+01
 2.28962e-02 -9.23719e-02  5.65915e+01
 2.77751e-02 -9.06670e-02  5.64545e+01
 2.62800e-03 -9.04836e-02  6.03089e+01
 7.86837e-03 -9.00500e-02  6.36606e+01
 1.30640e-02 -8.92412e-02  5.88331e+01
 1.81879e-02 -8.80613e-02  5.91119e+01
 2.32138e-02 -8.65167e-02  5.56012e+01
 2.81154e-02 -8.46152e-02  5.51584e+01
 2.67399e-03 -8.50504e-02  5.71514e+01
 8.00317e-03 -8.45714e-02  6.09778e+01
 1.32784e-02 -8.36765e-02  5.59231e+01
 1.84671e-02 -8.23712e-02  5.65270e+01
 2.35375e-02 -8.06635e-02  5.33559e+01
 2.84583e-02 -7.85641e-02  5.31702e+01
 2.72155e-03 -7.96185e-02  6.22165e+01
 8.14243e-03 -7.90961e-02  6.39568e+01
 1.34994e-02 -7.81157e-02  5.78865e+01
 1.87537e-02 -7.66844e-02  5.70633e+01
 2.38674e-02 -7.48125e-02  5.30006e+01
 2.88037e-02 -7.25137e-02  5.29379e+01
 2.77066e-03 -7.41880e-02  5.82683e+01
 8.28615e-03 -7.36240e-02  6.08589e+01
 1.37270e-02 -7.25587e-02  5.47458e+01
 1.90476e-02 -7.10008e-02  5.43762e+01
 2.42036e-02 -6.89636e-02  5.21712e+01
 2.91516e-02 -6.64640e-02  5.24650e+01
 2.82131e-03 -6.87588e-02  6.41823e+01
 8.43432e-03 -6.81554e-02  6.30981e+01
 1.39613e-02 -6.70056e-02  5.87085e+01
 1.93491e-02 -6.53207e-02  5.71423e+01
 2.45460e-02 -6.31167e-02  5.41102e+01
